Date,Time,Lat,Lang,Depth(KM),Magnitude,Region
16-04-2013,10:44:11,28.0°N,62.1°E,46,7.8,PAKISTAN-IRAN BORDER REGION
16-04-2013,22:55:26,03.2°S,142.5°E,10,6.8,"NEAR NORTH COAST OF NEW GUINEA, P.N.G."
14-04-2013,01:32:24,06.4°S,154.5°E,41,6.5,"BOUGAINVILLE REGION,   P.N.G"
11-04-2013,03:47:03,19.3°N,95.7°E,12,5.4,MYANMAR
10-04-2013,20:10:01,29.0°N,76.6°E,10,3.5,"ROHTAK, HARYANA"
09-04-2013,11:52:55,28.5°N,51.6°E,42,6.2,SOUTHERN IRAN
09-04-2013,21:46:31,25.6°N,91.7°E,5,3.4,"WEST KHASI HILLS,MEGHALAYA"
06-04-2013,04:42:40,03.6°S,138.1°E,90,7.1,PAPUA INDONESIA
06-04-2013,22:29:31,30.5°N,79.1°E,10,4.3,"RUDRAPRAYAG, UTTARAKHAND"
05-04-2013,07:34:10,26.7°N,92.4°E,10,3.4,"SONITPUR, ASSAM"
05-04-2013,13:00:02,42.8°N,131.0°E,570,6.3,EASTERN RUSSIA - N.E. CHINA BORDER
05-04-2013,22:55:00,36.4°N,71.5°E,80,5.4,"HINDUKUSH REGION,AFGHANISTAN"
04-04-2013,06:31:37,36.1°N,71.6°E,237,5.8,"HINDU KUSH REGION, AFGHANISTAN"
04-04-2013,09:51:31,24.7°N,94.3°E,50,3.5,"UKHRUL, MANIPUR"
04-04-2013,15:16:26,19.3°N,95.7°E,40,5.4,MYANMAR
03-04-2013,03:48:02,27.6°N,92.7°E,10,3.5,"EAST KAMENG, ARUNACHAL PRADESH"
03-04-2013,16:35:48,19.3°N,95.2°E,10,5.5,MYANMAR
31-03-2013,14:43:21,27.2°N,75.0°E,5,2.3,"NEAR SAMBHAR LAKE, NAGAUR, RAJASTHAN"
30-03-2013,06:33:56,23.5°N,70.4°E,5,4,"RANN OF KACHCHH,GUJARAT"
27-03-2013,02:03:00,23.9°N,121.3°E,20,6.1,TAIWAN
25-03-2013,05:05:00,24.3°N,68.5°E,10,3.8,PAKISTAN-INDIA (GUJARAT)BORDER REGION
25-03-2013,16:53:35,26.5°N,93.5°E,7,3.2,KARBI ANGLONG ASSAM
25-03-2013,23:02:13,14.6°N,90.3°E,200,6,GUATEMALA
24-03-2013,00:17:32,30.0°N,80.6°E,5,2.9,DISTT-PITHURAGARH INDIA-NEPAL BORDER REGION
24-03-2013,04:18:33,50.7°N,160.2°E,10,6.2,EAST OF KURIL ISLAND
24-03-2013,08:13:45,20.8°S,173.3°E,5,6,VANUATU ISLAND
20-03-2013,02:10:27,12.7°N,93.6°E,96,4.8,OFF EAST COAST OF MIDDLE ANDMAN
12-03-2013,19:05:50,26.8°N,92.4°E,33,3.4,"SONNITPUR, ASSAM"
10-03-2013,22:51:49,6.5°S,148.2°E,36,6.3,"NEW BRITAIN,P.N.G,REGION"
06-03-2013,04:28:32,29.7°N,80.4°E,10,3.2,INDIA (UTTRAKHAND) NEPAL BORDER REGION
04-03-2013,11:39:32,25.5°N,91.6°E,20,3.2,"EAST KHASI HILLS,MEGHALAYA"
04-03-2013,16:05:27,26.1°N,91.4°E,5,4.1,DISTT-KAMRUP ASSAM
04-03-2013,20:15:53,25.0°N,93.0°E,33,3.9,"CACHAR, ASSAM"
02-03-2013,01:30:40,24.8°N,92.2°E,10,5.2,INDIA (KARIMGANJ)BANGALA DESH BORDER REGION
01-03-2013,17:53:49,50.9°N,157.5°E,22,6.3,KURIL ISLANDS
01-03-2013,13:20:47,51.0°N,157.6°E,33,6.6,KURIL ISLANDS
28-02-2013,03:09:49,17.7°S,167.3°E,20,6.1,VANUATU ISLANDS
28-02-2013,14:05:51,50.9°N,157.3°E,55,6.7,KURIL ISLANDS
28-02-2013,17:32:34,27.1°N,92.3°E,10,3.9,"WEST KAMENG, ARUNACHAL PRADESH"
27-02-2013,12:27:13,25.7°N,90.6°E,5,3.6,"EAST GARO HILLS, MEGHALAYA"
26-02-2013,17:26:35,11.2°N,75.8°E,15,3,"DISTRICT - KOZHIKODE,  KERALA"
25-02-2013,02:28:25,30.9°N,78.4°E,11,3.1,"DISTT. UTTARKASHI, UTTRAKHAND"
24-02-2013,00:57:17,26.3°N,75.6°E,5,4.1,"TONK, RAJASTHAN"
22-02-2013,12:01:58),27.8°S,63.1°W,570,6.1,"SANTIAGO DEL ESTERO, ARGENTINA"
20-02-2013,05:15:07,20.7°N,85.1°E,5,2.9,"ANUGUL DIST,ORISSA"
19-02-2013,21:05:11,25.4°N,89.1°E,10,4.5,BANGLADESH-INDIA(W.B) BORDER REGION
18-02-2013,12:19:17,30.7°S,178.1°W,33,6.1,"KERMADEC ISLANDS, NEW ZEALAND"
17-02-2013,01:35:08),36.5°N,71.7°E,100,5.2,"HINDU KUSH REGION,  AFGHANISTAN"
17-02-2013,16:27:07,30.9°N,78.4°E,10,3.2,"UTTARKASHI,UTTARAKHAND"
16-02-2013,04:37:40,05.8°N,125.8°E,119,6,"MINDANAO, PHILIPPINES"
14-02-2013,13:13:53,67.5°N,142.6°E,10,6.8,"SAKHA, RUSSIA"
11-02-2013,10:48:55,31.0°N,78.4°E,5,4.3,"UTTARKASHI, UTTARAKHAND"
11-02-2013,21:40:26,29.2°N,95.9°E,10,4,"DIBANG VALLEY, ARUNACHAL PRADESH"
10-02-2013,18:39:34,10.8°S,165.2°E,11,6.2,SANTA CRUZ ISLANDS
09-02-2013,14:16:03,01.1°N,77.4°W,108,6.9,COLOMBIA
09-02-2013,21:02:26,10.9°S,165.7°E,30,6.5,SANTA CRUZ ISLANDS
08-02-2013,11:12:14,10.8°S,165.7°E,10,7,SANTA CRUZ ISLANDS
08-02-2013,15:26:39,10.8°S,166.0°E,23,6.9,SANTA CRUZ ISLANDS
07-02-2013,00:41:37,01.7°N,98.1°E,93,5.2,"NORTHERN SUMATRA,INDONESIA"
07-02-2013,18:59:16,10.9°S,165.7°E,10,6.6,SANTA CRUZ ISLANDS
06-02-2013,01:12:28,10.7°S,165.0°E,10,7.9,SANTA CRUZ  ISLANDS
06-02-2013,05:29:22,15.5°N,80.0°E,5,2.9,"DISTT. PRAKASAM(ONGOLE),ANDHRA PRADESH"
06-02-2013,06:35:22,10.8°S,164.6°E,10,6.1,SANTA CRUZ  ISLANDS
06-02-2013,08:22:45,28.8°N,76.5°E,5,2.7,"DISTT. ROHTAK,HARYANA"
06-02-2013,13:54:56,10.9°S,166.6°E,21,6.1,SANTA CRUZ  ISLANDS
04-02-2013,01:19:28,11.7°N,92.7°E,10,4.8,"ANDAMAN ISLANDS, INDIA"
02-02-2013,14:17:34,42.9°N,143.0°E,100,6.9,"HOKKAIDO ,JAPAN REGION"
01-02-2013,05:36:44,11.3°S,165.5°E,26,6.2,SANTA CRUZ  ISLANDS
01-02-2013,22:16:41,10.7°S,165.5°E,40,6.5,SANTA CRUZ ISLANDS
31-01-2013,03:33:46,10.5°S,166.4°E,96,6.2,SANTA CRUZ ISLANDS
30-01-2013,20:15:39,28.0°S,70.5°W,15,6.7,"ATACAMA,CHILE"
30-01-2013,21:30:18,30.2°N,80.0°E,5,2.6,"BAGESHWAR,UTTARAKHAND"
29-01-2013,19:42:52,30.0°N,81.6°E,7,4,NEPAL
28-01-2013,16:38:52,42.6°N,79.7°E,10,6.1,"LAKE ISSYK-KUL REGION,KYRGYZSTAN"
26-01-2013,02:24:33,17.1°N,73.7°E,2,3.6,"KOYNA,MAHARASHTRA"
22-01-2013,15:09:22,36.4°N,68.9°E,45,5.2,HINDU KUSH
22-01-2013,23:54:33,07.5°N,93.7°E,60,4.5,NICOBAR ISLANDS
21-01-2013,22:22:50,04.9°N,96.1°E,36,6,NORTHERN SUMATRA INDONESIA
18-01-2013,12:42:49,31.1°N,99.4°E,10,5.6,"SICHUAN, CHINA"
13-01-2013,17:35:49,26.5°N,86.1°E,10,3,INDIA-NEPAL BORDER
11-01-2013,09:10:12,13.5°N,92.8°E,35,5,ANDAMAN ISLANDS
10-01-2013,13:47:02,04.9°N,95.3°E,10,5.7,"NORTHERN SUMATRA, INDONESIA"
10-01-2013,15:16:13,30.1°N,80.4°E,5,3.2,"PITHORAGARH, UTTARAKHAND"
09-01-2013,01:41:52,25.4°N,94.9°E,89,5.9,MYANMAR-INDIA BORDER REGION
08-01-2013,10:36:58,15.8°N,73.9°E,35,2.5,MAHARASHTRA-GOA BORDER REGION
07-01-2013,05:32:46,28.1°N,94.3°E,10,4.5,ARUNACHAL PRADESH
07-01-2013,07:06:47,28.1°N,94.4°E,10,3.9,ARUNACHAL PRADESH
07-01-2013,07:19:58,28.1°N,94.4°E,10,4.2,ARUNACHAL PRADESH
05-01-2013,08:58:19,55.9°N,134.9°W,10,7.5,SOUTHEASTERN ALASKA
03-01-2013,05:47:27,25.4°N,93.6°E,14,3.8,NAGALAND-MANIPUR ORDER
02-01-2013,14:53:41,27.3°N,88.6°E,10,3,"GANGTOK,SIKKIM"
02-01-2013,22:06:31,23.2°N,94.2°E,18,3.2,MYANMAR
02/01/0213,17:42:15,29.4°N,81.1°E,10,4.8,NEPAL
01-01-2013,14:43:41,26.3°N,93.2°E,35,3.5,DISTT-KARBI
