Date,Time,Lat,Lang,Depth(KM),Magnitude,Region
25/04/2012,07:42:23,08.9°N,94.1°E,10,5.8,NICOBAR ISLANDS REGION
25/04/2012,07:53:26,09.1°N,94.0°E,10,5.1,NICOBAR ISLANDS REGION
26/04/2012,19:21:47,02.8°N,94.6°E,33,5.5,OFF WEST COAST OF NORTHERN SUMATRA
28/04/2012,10:08:02,18.7°S,174.6°W,80,6.7,TONGA ISLANDS
30/04/2012,08:00:10,01.8°N,89.7°E,10,5.6,NORTH INDIAN OCEAN
30/04/2012,13:06:59,14.5°N,93.2°E,10,5.3,ANDAMAN ISLANDS
01/05/2012,22:43:12.,26.2°N,92.2°E,13,3.8,"MARIGAON, ASSAM"
02/05/2012,09:57:32,08.9°N,93.8°E,15,4.7,NICOBAR ISLANDS
02/05/2012,23:12:14,28.2°N,76.3°E,05,3.5,"DISTT MAHENDRAGARH, HARYANA"
03/05/2012,01:18.03,10.5°N,93.2°E,10,5.1,ANDAMAN ISLANDS
03/05/2012,04:59:35,08.9°N,93.8°E,33,4.8,NICOBAR ISLANDS REGION
03/05/2012,06:42:35,36.3°N,70.7°E,115,5.1,HINDU KUSH REGION AFGHANISTAN
04/05/2012,20:09:26,27.5°N,95.1°E,15,4.4,"DISTT. DIBRUGARH, ASSAM"
06/05/2012,05:42:59,32.4°N,76.3°E,05,3.6,"DISTT CHAMBA, HIMACHAL PRADESH"
09/05/2012,18:05:58,34.3°N,74.5°E,08,3.4,JAMMU AND KASHMIR
10/05/2012,22:00:40,30.2°N,79.4°E,05,3.9,"DISTT CHAMOLI, UTTRAKHAND"
11/05/2012,12:41:28,26.6°N,93.0°E,20,5.4,ASSAM
12/05/2012,23:28:41,38.5°N,70.0°E,10,6.0,AFGHANISTAN-TAJIKISTAN.BORDER.REGION
14/05/2012,10:00:28,17.6°S,69.8°W,10,6.3,TRAPACA.CHILE
17/05/2012,13:39:19,28.9°N,76.7°E,27,3.5,"DISTT.ROHTAK, HARYANA"
19/05/2012,08:35:08,25.8°S,70.6°W,10,6.0,"ANTOFAGSTA,CHILE"
20/05/2012,02:03:52,44.8°N,11.2°E,10,6.0,NORTHERN ITALY
20/05/2012,07:19:54,39.7°N,143.3°E,10,6.2,"OFF THE EAST COAST OF HONSHU, JAPAN"
22/05/2012,12:19:49,25.2°N,94.4°E,63,4.0,INDIA(MANIPUR)--MYANMAR BORDER REGION
24/05/2012,19:39:28,14.5°N,93.2°E,33.0,5.0,OFF NORTH COAST OF NORTH  ANDAMAN  ISLANDS
27/05/2012,15:01:28,26.7°N,91.6°E,18,4.5,"KAMRUP, ASSAM"
28/05/2012,05:07:22,28.2°S,63.3°W,580,6.4,"SANTIAGO DEL ESTERO, ARGENTINA"
30/05/2012,01:54:28,27.4°N,88.0°E,10,4.0,SIKKIM-NEPAL  BORDER REGION
30/05/2012,13:23:03,08.4°N,91.8°E,25,4.7,NICOBAR ISLANDS REGION
01/06/2012,19:11:33,29.0°N,95.5°E,33,4.0,INDIA (ARUNACHAL PRADESH)-XIZANG BORDER REGION
01/06/2012,23:39:34,30.4°N,79.2°E,10,3.7,"DISTT. CHAMOLI, UTTARANCHAL"
03/06/2012,23:19:04,35.3°N,80.4°E,10,3.1,"KASHMIR, INDIA"
04/06/2012,00:45:15,05.2°N,82.7°W,10,6.4,PANAMA
04/06/2012,03:15:24,05.4°N,82.5°W,10,6.0,PANAMA
05/06/2012,11:01:20,05.6°N,94.7°E,51,5.5,NORTHERN SUMATRA INDONESIA
09/06/2012,08:14:41,20.1°N,82.9°E,5,3.9,"KALAHANDI, ORISSA"
11/06/2012,04:35:56,27.2°N,88.3°E,5,3.8,SIKKIM-NEPAL BORDER REGION
11/06/2012,05:02:10,36.7°N,69.9°E,20,5.4,"HINDUKUSH REGION, AFGHANISTAN"
11/06/2012,05:29:11,36.1°N,69.3°E,33,5.7,"HINDUKUSH REGION, AFGHANISTAN"
12/06/2012,01:09:43,22.2°N,78.8°E,10,3.4,"CHHINDWARA, MADHYA PRADESH"
13/06/2012,03:16:03,28.7°N,76.6°E,10,2.8,"ROHTAK, HARYANA"
13/06/2012,11:20:39,25.9°N,92.7°E,28,3.4,"KARBI ANGLONG, ASSAM"
16/06/2012,05:38:31,26.3°N,92.8°E,33,3.8,"NAGAON, ASSAM"
17/06/2012,20:32:22,38.9°N,141.9°E,55,6.2,"NEAR THE EAST  COAST OF HONSHU, JAPAN"
19/06/2012,14:00:08,28.7°N,76.6°E,5,3.8,"DISTT. JHAJJAR, HARYANA"
19/06/2012,20:14:02,23.6°N,70.4°E,10,5.1,"KACHCHH, GUJARAT"
20/06/2012,08:46:25,11.1°N,76.0°E,05,3.4,"MALAPPURAM, KERALA"
22/06/2012,02:44:42,29.0°N,77.1°E,07,3.5,"SONIPAT, HARYANA"
22/06/2012,04:38:47,29.0°N,77.0°E,15,3.4,"SONIPAT, HARYANA"
23/06/2012,04:34:54,03.0°N,97.9°E,103,6.0,"NORTHERN SUMATRA, INDONESIA"
24/06/2012,03:15:00,57.6°N,163.3°E,10,6.2,"NEAR EAST COAST OF KAMCHATAKA,RUSSIA"
24/06/2012,07:59:34,27.8°N,100.8°E,10,5.6,"SICHUAN,CHINA"
29/06/2012,05:29:59,24.2°N,91.9°E,15,3.7,INDIA (TRIPURA) - BANGLADESH BORDER REGION
29/06/2012,21:07:35,43.4°N,84.7°E,10,6.3,"NORTHERN XINJIANG,CHINA"
30/06/2012,19:43:22,28.7°N,96.2°E,10,4.8,INDIA( ARUNACHAL PRADESH )-XIZANG BORDER REGION
